municipio,rio,data,hora,latitude,longitude,choveu,ph,od,turbidez,temperatura,condutividade,std,fosforo,nitrogenio,salinidade,rio_original,status_ph,status_od,status_turbidez,indice_problemas,status_ph_graf,status_od_graf,status_turb_graf
SAO LUIS,RIO ANIL,2018-11-28,09:53:00,-2.53233,-44.27333,NÃO,7.6,2.87,77.48,28.47,50718.0,,,,33.16,,Conforme,Não Conforme,Conforme,1,Dentro do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO BACANGA,2018-11-28,09:32:00,-2.56591,-44.2844,NÃO,8.39,1.99,12.59,29.6,49860.0,,,,32.71,,Conforme,Não Conforme,Conforme,1,Dentro do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO TIBIRI,2018-11-28,12:21:00,-2.65098,-44.21401,NÃO,7.71,4.41,164.47,29.1,54744.9,,,,33.11,,Conforme,Não Conforme,Não Conforme,2,Dentro do Padrão,Fora do Padrão,Fora do Padrão
SAO LUIS,RIO DOS CACHORROS,2018-11-28,10:51:00,-2.66699,-44.32016,NÃO,7.68,4.19,21.33,28.79,56203.0,,,,34.41,,Conforme,Não Conforme,Conforme,1,Dentro do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO TIBIRI,2018-11-28,11:23:00,-2.68907,-44.21015,NÃO,7.73,5.36,66.77,28.87,52012.3,,,,33.74,,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO ITAPIRACO,2018-11-28,14:00:00,-2.52372,-44.2037,NÃO,6.9,0.35,16.97,26.45,70.6,,,,0.03,,Conforme,Não Conforme,Conforme,1,Dentro do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO TIBIRI,2018-03-27,08:30:00,-2.650839,-44.214424,NÃO,7.48,3.65,65.5,27.52,11674.1,,,,6.62,,Conforme,Não Conforme,Conforme,1,Dentro do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO JAGUAREMA,2018-03-15,14:44:00,-2.477846,-44.210433,NÃO,5.6,6.15,163.11,27.66,183.0,,,,0.08,,Não Conforme,Conforme,Não Conforme,2,Fora do Padrão,Dentro do Padrão,Fora do Padrão
SAO LUIS,RIO DOS CACHORROS,2018-03-15,16:31:00,-2.667239,-44.319671,NÃO,6.45,5.82,28.5,29.28,31490.1,,,,19.32,,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO TIBIRI,2018-03-15,15:40:00,-2.688906,-44.209937,NÃO,5.9,5.99,68.5,29.894,17027.5,,,,9.77,,Não Conforme,Conforme,Conforme,1,Fora do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO TIBIRI,2017-12-28,06:45:00,-2.651,-44.215,,7.58,5.06,10.83,28.78,47486.5,,,,30.8,,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO ITAPIRACO,2017-12-07,10:34:00,-2.524,-44.2,,7.11,0.54,19.47,25.86,325.7,,,,0.14,,Conforme,Não Conforme,Conforme,1,Dentro do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO CALHAU,2017-12-06,11:31:00,-2.492,-44.259,,7.04,4.64,,34.0,103.0,,,,0.08,,Conforme,Não Conforme,Sem Dado,1,Dentro do Padrão,Fora do Padrão,Sem Dado
SAO LUIS,RIO ANIL,2017-12-06,11:12:00,-2.527,-44.279,,7.59,5.4,97.76,27.9,49928.1,,,,35.46,,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO BACANGA,2017-12-06,10:32:00,-2.566,-44.285,,7.68,3.58,328.41,30.71,32780.4,,,,23.15,,Conforme,Não Conforme,Não Conforme,2,Dentro do Padrão,Fora do Padrão,Fora do Padrão
SAO LUIS,RIO TIBIRI,2017-12-06,09:05:00,-2.689,-44.21,,7.63,5.65,55.91,27.98,48932.0,,,,34.62,,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO JAGUAREMA,2017-12-05,18:00:00,-2.479,-44.21,,5.43,6.52,1.07,27.43,164.3,,,,0.08,,Não Conforme,Conforme,Conforme,1,Fora do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO DOS CACHORROS,2017-12-05,13:54:00,-2.667,-44.32,,7.5,3.68,647.17,30.93,53.75,,,,31.58,,Conforme,Não Conforme,Não Conforme,2,Dentro do Padrão,Fora do Padrão,Fora do Padrão
SAO LUIS,RIO TIBIRI,2017-10-27,17:36:00,-2.650839,-44.214424,NÃO,8.08,8.07,43.6,30.79,46057.3,,,,14.37,,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO TIBIRI,2017-10-27,16:11:00,-2.688906,-44.209937,NÃO,7.72,8.14,9.72,29.02,30240.7,,,,19.66,,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO ITAPIRACO,2017-09-12,17:30:00,-2.527088,-44.202777,NÃO,,,,,,,,,,,Sem Dado,Sem Dado,Sem Dado,0,Sem Dado,Sem Dado,Sem Dado
SAO LUIS,RIO CALHAU,2017-09-11,16:30:00,-2.491219,-44.258821,NÃO,7.2,0.0,,29.15,376000.0,,,,0.1,,Conforme,Não Conforme,Sem Dado,1,Dentro do Padrão,Fora do Padrão,Sem Dado
SAO LUIS,RIO BACANGA,2017-09-05,13:20:00,-2.566936,-44.284605,NÃO,7.61,7.96,46.1,36.54,51977.0,,,,24.48,,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO DOS CACHORROS,2017-09-05,11:40:00,-2.667239,-44.319671,NÃO,7.6,7.2,103.9,29.4,38708.0,,,,22.4,,Conforme,Conforme,Não Conforme,1,Dentro do Padrão,Dentro do Padrão,Fora do Padrão
SAO LUIS,RIO JAGUAREMA,2017-09-04,14:39:00,-2.477846,-44.210433,NÃO,5.3,6.5,15.61,28.2,180.9,,,,0.08,,Não Conforme,Conforme,Conforme,1,Fora do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO ANIL,2017-09-04,16:50:00,-2.523975,-44.279067,NÃO,7.93,6.34,52.08,29.8,50032.0,,,,29.3,,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
